year,month,state,district,fps_id,fps_name,total_etransaction,aadhaar_authenticated,other_mode_authenticated,non_authenticated,aadhaar_authenticated_pct,other_mode_authenticated_pct,non_authenticated_pct,is_zero_transaction,has_missing_tables,source_file,rc_priority_household(phh)_regular,rc_priority_household(phh)_intra_state,rc_priority_household(phh)_inter_state,rc_priority_household(phh)_total,rc_antyodaya_anna_yojana_(aay)_regular,rc_antyodaya_anna_yojana_(aay)_intra_state,rc_antyodaya_anna_yojana_(aay)_inter_state,rc_antyodaya_anna_yojana_(aay)_total,qty_priority_household_(phh)_regular,qty_priority_household_(phh)_intra_state,qty_priority_household_(phh)_inter_state,qty_priority_household_(phh)_total,qty_antyodaya_anna_yojana_(aay)_regular,qty_antyodaya_anna_yojana_(aay)_intra_state,qty_antyodaya_anna_yojana_(aay)_inter_state,qty_antyodaya_anna_yojana_(aay)_total
2026,Mar,GOA,north_goa,+A,unknown,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\+A_unknown.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,- A,unknown,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\- A_unknown.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100001,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100001_158500100001___smt_sanna_sanjay_padte_83_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,GOA,,,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100001_sample.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100001,SMT.SANNA SANJAY PADTE-83 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100001_smt_sanna_sanjay_padte_83_fps.json,122.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100002,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100002_158500100002___m_s_p_s_karekar_26_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100002,M/S P S KAREKAR-26 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100002_m_s_p_s_karekar_26_fps.json,134.0,73.0,6.0,213.0,22.0,3.0,2.0,27.0,134.0,73.0,6.0,213.0,22.0,3.0,2.0,27.0
2026,Mar,GOA,north_goa,158500100005,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100005_158500100005___arpora_nagoa_v_k_s_s_sty_ltd_39_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100005,ARPORA NAGOA V K S S STY LTD-39 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100005_arpora_nagoa_v_k_s_s_sty_ltd_39_fps.json,231.0,5.0,30.0,266.0,18.0,1.0,9.0,28.0,231.0,5.0,30.0,266.0,18.0,1.0,9.0,28.0
2026,Mar,GOA,north_goa,158500100006,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100006_158500100006___ashok_p_shirodkar_103_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100006,ASHOK P SHIRODKAR-103 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100006_ashok_p_shirodkar_103_fps.json,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100007,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100007_158500100007___ashok_g_dhargalkar_94_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100007,ASHOK G DHARGALKAR-94 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100007_ashok_g_dhargalkar_94_fps.json,316.0,4.0,14.0,334.0,0.0,0.0,0.0,0.0,316.0,4.0,14.0,334.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100008,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100008_158500100008___santosh_nagesh_prabhu_74_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100008,SANTOSH NAGESH PRABHU-74 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100008_santosh_nagesh_prabhu_74_fps.json,119.0,0.0,0.0,119.0,6.0,0.0,0.0,6.0,119.0,0.0,0.0,119.0,6.0,0.0,0.0,6.0
2026,Mar,GOA,north_goa,158500100009,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100009_158500100009___the_mapusa_consumer_coop_sty_1__2_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100009,THE MAPUSA CONSUMER COOP STY-1& 2 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100009_the_mapusa_consumer_coop_sty_1__2_fps.json,419.0,6.0,11.0,436.0,27.0,0.0,1.0,28.0,419.0,6.0,11.0,436.0,27.0,0.0,1.0,28.0
2026,Mar,GOA,north_goa,158500100011,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100011_158500100011___subhash_dhargalkar_62_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100011,SUBHASH DHARGALKAR-62 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100011_subhash_dhargalkar_62_fps.json,475.0,0.0,23.0,498.0,9.0,0.0,4.0,13.0,474.0,0.0,23.0,497.0,9.0,0.0,4.0,13.0
2026,Mar,GOA,north_goa,158500100012,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100012_158500100012___sayukta_b__kesarkar_105_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100012,SAYUKTA B. KESARKAR-105 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100012_sayukta_b__kesarkar_105_fps.json,63.0,31.0,0.0,94.0,5.0,0.0,0.0,5.0,63.0,31.0,0.0,94.0,5.0,0.0,0.0,5.0
2026,Mar,GOA,north_goa,158500100013,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100013_158500100013___pandurang_v_govekar_85_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100013,PANDURANG V GOVEKAR-85 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100013_pandurang_v_govekar_85_fps.json,54.0,0.0,3.0,57.0,34.0,0.0,1.0,35.0,54.0,0.0,3.0,57.0,34.0,0.0,1.0,35.0
2026,Mar,GOA,north_goa,158500100014,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100014_158500100014___pradeep_p_mishal_77_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100014,PRADEEP P MISHAL-77 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100014_pradeep_p_mishal_77_fps.json,68.0,4.0,0.0,72.0,8.0,0.0,0.0,8.0,68.0,4.0,0.0,72.0,8.0,0.0,0.0,8.0
2026,Mar,GOA,north_goa,158500100015,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100015_158500100015___gokuldas_fair_price_shop_111_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100015,GOKULDAS FAIR PRICE SHOP-111 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100015_gokuldas_fair_price_shop_111_fps.json,67.0,1.0,0.0,68.0,5.0,0.0,0.0,5.0,67.0,1.0,0.0,68.0,5.0,0.0,0.0,5.0
2026,Mar,GOA,north_goa,158500100016,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100016_158500100016___vimal_r_azgaonkar_67_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100016,VIMAL R AZGAONKAR-67 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100016_vimal_r_azgaonkar_67_fps.json,101.0,0.0,1.0,102.0,5.0,0.0,0.0,5.0,101.0,0.0,1.0,102.0,5.0,0.0,0.0,5.0
2026,Mar,GOA,north_goa,158500100017,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100017_158500100017___ranjana_c_naik_109_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100017,RANJANA C NAIK-109 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100017_ranjana_c_naik_109_fps.json,170.0,0.0,13.0,183.0,28.0,0.0,4.0,32.0,170.0,0.0,13.0,183.0,28.0,0.0,4.0,32.0
2026,Mar,GOA,north_goa,158500100019,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100019_158500100019___dhond_shop_57_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100019,Dhond Shop-57 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100019_dhond_shop_57_fps.json,307.0,2.0,0.0,309.0,4.0,0.0,0.0,4.0,307.0,2.0,0.0,309.0,4.0,0.0,0.0,4.0
2026,Mar,GOA,north_goa,158500100020,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100020_158500100020___m_s_pandhari_pangam_51_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100020,M/S PANDHARI PANGAM-51 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100020_m_s_pandhari_pangam_51_fps.json,215.0,7.0,25.0,247.0,9.0,0.0,4.0,13.0,215.0,7.0,25.0,247.0,9.0,0.0,4.0,13.0
2026,Mar,GOA,north_goa,158500100021,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100021_158500100021___sadanand_s_lotlikar_32_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100021,SADANAND S LOTLIKAR-32 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100021_sadanand_s_lotlikar_32_fps.json,156.0,2.0,15.0,173.0,11.0,0.0,3.0,14.0,156.0,2.0,15.0,173.0,11.0,0.0,3.0,14.0
2026,Mar,GOA,north_goa,158500100022,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100022_158500100022___suresh_p_sawant_91_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100022,SURESH P SAWANT-91 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100022_suresh_p_sawant_91_fps.json,88.0,0.0,0.0,88.0,9.0,0.0,0.0,9.0,88.0,0.0,0.0,88.0,9.0,0.0,0.0,9.0
2026,Mar,GOA,north_goa,158500100023,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100023_158500100023___dayanand_kenkre_33_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100023,DAYANAND KENKRE-33 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100023_dayanand_kenkre_33_fps.json,172.0,4.0,15.0,191.0,8.0,0.0,0.0,8.0,172.0,4.0,15.0,191.0,8.0,0.0,0.0,8.0
2026,Mar,GOA,north_goa,158500100024,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100024_158500100024___deepak_atchut_naik_101_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100024,DEEPAK ATCHUT NAIK-101 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100024_deepak_atchut_naik_101_fps.json,78.0,6.0,23.0,107.0,0.0,0.0,1.0,1.0,78.0,6.0,23.0,107.0,0.0,0.0,1.0,1.0
2026,Mar,GOA,north_goa,158500100025,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100025_158500100025___shrikrishna_pokhre_116_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100025,SHRIKRISHNA POKHRE-116 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100025_shrikrishna_pokhre_116_fps.json,222.0,0.0,9.0,231.0,10.0,0.0,2.0,12.0,222.0,0.0,9.0,231.0,10.0,0.0,2.0,12.0
2026,Mar,GOA,north_goa,158500100026,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100026_158500100026___dayanand_s_gadekar_110_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100026,DAYANAND S GADEKAR-110 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100026_dayanand_s_gadekar_110_fps.json,74.0,0.0,4.0,78.0,1.0,0.0,0.0,1.0,74.0,0.0,4.0,78.0,1.0,0.0,0.0,1.0
2026,Mar,GOA,north_goa,158500100027,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100027_158500100027___hirabai_trivikram_joshi_53_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100027,HIRABAI TRIVIKRAM JOSHI-53 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100027_hirabai_trivikram_joshi_53_fps.json,238.0,49.0,1.0,288.0,19.0,3.0,0.0,22.0,238.0,49.0,1.0,288.0,19.0,3.0,0.0,22.0
2026,Mar,GOA,north_goa,158500100028,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100028_158500100028___purshottam_a_bandodkar_59_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100028,PURSHOTTAM A BANDODKAR-59 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100028_purshottam_a_bandodkar_59_fps.json,121.0,0.0,0.0,121.0,5.0,0.0,0.0,5.0,121.0,0.0,0.0,121.0,5.0,0.0,0.0,5.0
2026,Mar,GOA,north_goa,158500100029,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100029_158500100029___narliso_lobo_58_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100029,NARLISO LOBO-58 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100029_narliso_lobo_58_fps.json,121.0,2.0,0.0,123.0,18.0,0.0,0.0,18.0,121.0,2.0,0.0,123.0,18.0,0.0,0.0,18.0
2026,Mar,GOA,north_goa,158500100030,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100030_158500100030___sunita_v_umbraxar_100_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Mar,GOA,north_goa,158500100030,SUNITA V UMBRAXAR-100 FPS,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100030_sunita_v_umbraxar_100_fps.json,222.0,0.0,0.0,222.0,6.0,0.0,0.0,6.0,222.0,0.0,0.0,222.0,6.0,0.0,0.0,6.0
2026,Mar,GOA,north_goa,158500100031,,0,0,0,0,0.0,0.0,0.0,True,True,data/raw\2026-03\north_goa\158500100031_158500100031___yogeshwar_ganpat_tamonkar_49_fps.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
